Drug name	Drug number	Line number	Advice Text	AdviceTag1	AdviceTag2	AdviceTag3	AdviceTag4	Medication	Food	Activity	Exercise	Disease
Abilify	0	34	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related						sitting; lying; rising; getting up; 		
Abilify	0	38	"This medication may rarely make your blood sugar level rise, which can cause or worsen diabetes. Rarely, very serious conditions such as diabetic coma may occur. Tell your doctor right away if you develop symptoms of high blood sugar, such as increased thirst and urination. If you already have diabetes, be sure to check your blood sugars regularly."	Disease or symptom related								diabetes
Abilify	0	43	This medication may rarely cause a condition known as tardive dyskinesia.	Disease or symptom related								tardive dyskinesia
Abilify	0	64	"This drug may make you dizzy or drowsy or cause blurred vision. Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely."	Disease or symptom related	Activity or lifestyle related					driving; using machineray; activity requiring alertness		
Abilify	0	66	Avoid alcoholic beverages.	Food or beverage related					alcohol			
Abilify	0	67	"This medication may make you sweat less, making you more likely to get heat stroke. Avoid doing things that may cause you to overheat, such as hard work or exercise in hot weather, or using hot tubs."	Activity or lifestyle related	Exercise related	Disease or symptom related				using hot tubs; hard work		
Abilify	0	69	"When the weather is hot, drink a lot of fluids and dress lightly."	Activity or lifestyle related	Food or beverage related					drinking fluids; dressing lightly		
Abilify	0	70	"If you overheat, quickly look for a place to cool down and rest."	Activity or lifestyle related						resting		
Abilify	0	76	"During pregnancy, this medication should be used only when clearly needed. Babies born to mothers who have used this drug during the last 3 months of pregnancy may rarely develop symptoms including muscle stiffness or shakiness, drowsiness, feeding/breathing difficulties, or constant crying. If you notice any of these symptoms in your newborn especially during their first month, tell the doctor right away."	Pregnancy related	Disease or symptom related							
Abilify	0	80	"If you are planning pregnancy, become pregnant, or think you may be pregnant, immediately discuss with your doctor the benefits and risks of using this medication during pregnancy."	Pregnancy related								
Abilify	0	81	This medication passes into breast milk. Breast-feeding while using this drug is not recommended. Consult your doctor before breast-feeding.	Pregnancy related								
Abilify	0	88	A product that may interact with this drug is: metoclopramide.	Other drugs related				metoclopramide				
Abilify	0	89	"Other medications can affect the removal of aripiprazole from your body, which may affect how aripiprazole works. Examples include carbamazepine, among others."	Other drugs related				carbamazepine				
Abilify	0	91	"Tell your doctor or pharmacist if you are taking other products that cause drowsiness including alcohol, antihistamines (such as cetirizine, diphenhydramine), drugs for sleep or anxiety (such as alprazolam, diazepam, zolpidem), muscle relaxants, and narcotic pain relievers (such as codeine)."	Food or beverage related	Other drugs related	Disease or symptom related		antihistamines ; cetirizine; diphenhydramine; drugs for sleep or anxiety ; alprazolam; diazepam; zolpidem; muscle relaxants; narcotic pain relievers ; codeine;	alcohol			anxiety
Acetaminophen	1	8	WARNING:  Taking too much acetaminophen may cause serious (possibly fatal) liver disease. Adults should not take more than 4000 milligrams (4 grams) of acetaminophen a day. People with liver problems and children should take less acetaminophen. Ask your doctor or pharmacist how much acetaminophen is safe to take.	Drug administration related	Disease or symptom related							
Acetaminophen	1	17	"Daily alcohol use, especially when combined with acetaminophen, may damage your liver."	Food or beverage related	Disease or symptom related				alcohol			
Acetaminophen	1	18	Avoid alcohol.	Food or beverage related					alcohol			
Acetaminophen	1	45	"For adults, do not take this product for pain for more than 10 days (5 days in children) unless directed by your doctor."	Drug administration related	Temporal							
Acetaminophen	1	46	Do not take this medication for fever for more than 3 days unless directed by your doctor.	Drug administration related	Temporal							
Acetaminophen	1	74	Tell your doctor if you are pregnant before using this medication.	Pregnancy related								
Acetaminophen	1	75	Acetaminophen passes into breast milk.	Pregnancy related								
Acetaminophen	1	76	Consult your doctor before breast-feeding.	Pregnancy related								
Acetaminophen	1	82	A product that may interact with this drug is: ketoconazole.	Other drugs related				ketoconazole				
Actos	2	26	"If you are already taking another anti-diabetic drug (such as metformin or a sulfonylurea), follow your doctor's directions carefully for stopping/continuing the old drug and starting this medication."	Other drugs related				anti-diabetic drug; metformin; sulfonylurea;				diabetes
Actos	2	27	"Carefully follow the medication treatment plan, meal plan, and exercise program your doctor has recommended."	Food or beverage related	Activity or lifestyle related	Exercise related						
Actos	2	47	"It is a good habit to carry glucose tablets or gel to treat low blood sugar. If you don't have these reliable forms of glucose, rapidly raise your blood sugar by eating a quick source of sugar such as table sugar, honey, or candy, or drink fruit juice or non-diet soda."	Food or beverage related	Disease or symptom related				table sugar; honey; candy; fruit juice; non-diet soda			
Actos	2	70	Limit alcohol while taking this medication because it can increase the risk of developing low blood sugar.	Food or beverage related	Disease or symptom related				alcohol			
Actos	2	78	This medication should be used only when clearly needed during pregnancy. Discuss the risks and benefits with your doctor. Your doctor may substitute insulin for this drug during your pregnancy.	Pregnancy related		Other drugs related	Temporal					
Actos	2	82	It is not known whether this drug passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Actos	2	90	"Beta-blocker medications (such as metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Other drugs related	Disease or symptom related			Beta-blocker medications; metoprolol; propranolol; glaucoma eye drops; timolol;				
Actos	2	104	"Lifestyle changes that help promote healthy bones include increasing weight-bearing exercise, eating well-balanced meals containing adequate calcium and vitamin D, stopping smoking, and limiting alcohol."	Food or beverage related	Activity or lifestyle related	Exercise related			food with calcium and vitamin D; alcohol	smoking; weight-bearing exercise; 	weight-bearing exercise	
Actos	2	105	Consult your doctor to see if you need to take calcium/vitamin D supplements and discuss lifestyle changes that might benefit you.	Food or beverage related	Activity or lifestyle related	Other drugs related		calcium supplement; vitamin D supplement				
Ambien	6	22	"Do not take a dose of this drug unless you have time for a full night's sleep of at least 7 to 8 hours. If you have to wake up before that, you may have some memory loss and may have trouble safely doing any activity that requires alertness, such as driving or operating machinery."	Activity or lifestyle related	Drug administration related					sleeping for 7-8 hours; driving; using machineray		
Ambien	6	28	Do not take more than 12. 5 milligrams a day.	Drug administration related	Temporal							
Ambien	6	30	Women are usually prescribed a lower dose because the drug is removed from the body more slowly than in men.	Drug administration related								
Ambien	6	31	Older adults are usually prescribed a lower dose to decrease the risk of side effects.	Drug administration related								
